Roy Helu,201,1187
Skip Hicks,208,1174
Jeremy Hill,193,1170
Lee Suggs,206,1166
James Jackson,252,1153
Bernard Scott,205,1151
Bryce Brown,165,1114
Ryan Torain,180,1103
Jon Kitna,178,1102
Leroy Hoard,192,1097
Trung Canidate,203,1092
Selvin Young,164,1089
Samkon Gado,219,1067
Jonathan Dwyer,193,1065
Tim Tebow,163,1063
Bobby Rainey,191,1046
Jesse Chatman,166,1045
Jonathan Linton,231,1044
Tom Brady,242,1032
Ronnie Hillman,188,1029
Jahvid Best,189,1027
Brad Smith,118,1023
Chris Fuamatu-Ma'afala,189,1022
Jeff Blake,155,1009
Josh Freeman,148,1006
Matt Cassel,165,1003
Rock Cartwright,186,999
Greg Jones,218,989
Robert Turbin,194,981
Trent Green,142,980
Brad Hoover,243,976
Peyton Manning,156,974
Tony Fisher,193,969
Vick Ballard,167,957
Artose Pinner,209,954
Chris Warren,162,954
Shane Vereen,171,953
Andrew Luck,130,951
Percy Harvin,114,946
Drew Brees,169,941
Andre Brown,164,939
Jay Fiedler,151,937
Anthony Dixon,203,927
Terry Kirby,175,919
Maurice Hicks,163,918
C.J. Anderson,158,917
Maurice Smith,187,913
Bam Morris,203,909
Ryan Moats,165,888
Josh McCown,135,886
Dexter McCluster,147,882
Richie Anderson,162,876
Brett Favre,132,874
Brian Leonard,179,868
Lance Ball,154,864
Derrick Blaylock,165,858
Greg Hill,137,856
J.J. Arrington,139,854
Rob Johnson,108,851
Mike Goodson,125,846
Lamar Gordon,165,846
Mikel Leshoure,180,843
Mack Strong,184,832
Marcel Reece,148,831
Robert Griffin III,87,827
Matt Ryan,149,826
Josh Cribbs,119,821
Tre Mason,134,817
Ryan Tannehill,89,816
Verron Haynes,165,810
J.J. Johnson,169,789
Matt Asiata,182,782
Knile Davis,157,773
Andre Williams,166,765
Jermaine Fazande,167,765
Joe Flacco,141,764
Montee Ball,138,752
Vernand Morency,148,747
LaRod Stephens-Howling,132,739
Tony Romo,108,723
J.R. Redmond,150,723
Chris Ogbonnaya,137,723
Robert Griffin,112,721
Daryl Richardson,137,718
Cedric Houston,152,717
Charlie Batch,109,709
Quentin Griffin,138,707
Terrance West,139,706
Leonard Weaver,132,699
Jason Wright,147,697
Mike Cloud,151,696
Tarvaris Jackson,102,696
Brian Mitchell,102,695
Andy Dalton,136,689
Christian Ponder,96,688
Denard Robinson,120,688
Brian Griese,131,682
Thurman Thomas,131,681
Chris Perry,130,678
Leon Johnson,129,675
Brandon Bolden,109,674
Jake Locker,77,672
Isaiah Crowell,111,666
Terrelle Pryor,75,666
Edgar Bennett,155,663
Philip Rivers,139,661
Kahlil Bell,119,653
Geno Smith,99,640
Kerry Collins,113,640
Rodney Thomas,124,634
Kyle Boller,127,632
Fred Beasley,154,632
Khiry Robinson,103,629
Bob Christian,110,627
Eli Manning,100,627
Drew Bledsoe,136,624
Aveion Cason,97,620
Branden Oliver,124,617
LaBrandon Toefield,129,616
Quincy Carter,103,609
John Kuhn,156,605
Heath Evans,130,603
Tim Couch,82,599
Bishop Sankey,129,594
Patrick Pass,109,587
John Avery,107,582
Jason Brookins,123,579
Larry Centers,109,577
Alfred Blue,128,576
Stanley Pritchett,113,574
Travis Prentice,141,573
Charles Way,121,567
Arlen Harris,126,566
Wali Lundy,120,565
Jerick McKinnon,94,563
Montario Hardesty,123,562
Mario Bates,126,560
Joe McKnight,99,559
Kenton Keith,108,556
David Wilson,82,546
Carson Palmer,121,546
Chad Pennington,111,546
Ken Oxendine,123,543
Matthew Stafford,102,540
Musa Smith,103,535
Delone Carter,108,534
Joseph Randle,85,533
Benny Cunningham,90,531
Alex Green,113,527
Tony Banks,89,522
Javon Ringer,92,520
J.P. Losman,72,517
Steve Young,62,515
Michael Wiley,64,509
Randy Jordan,88,507
Harvey Williams,99,507
Antwaan Randle El,59,505
Justin Watson,81,505
Shaun King,82,494
Joey Harrington,100,492
Tyler Thigpen,68,492
Keiland Williams,91,486
Cory Schlesinger,128,485
Cade McNown,65,482
Mark Sanchez,99,481
Antonio Pittman,86,481
Byron Leftwich,93,478
Kimble Anders,89,477
Jordan Todman,84,475
James Mungro,97,475
Ron Rivers,83,471
Cecil Collins,98,466
Lorenzo Neal,120,462
Trent Dilfer,87,458
Michael Robinson,95,456
Steve Smith,44,455
Colt McCoy,82,454
Charlie Frye,64,453
Matt Schaub,93,441
Latavius Murray,63,441
Dee Brown,90,441
Obafemi Ayanbadejo,96,441
Lamont Warren,95,440
Mike McMahon,64,440
Carlos Hyde,75,437
Ki-Jana Carter,79,436
Dennis Northcutt,47,435
Marc Bulger,64,435
Jake Delhomme,77,431
DeSean Jackson,49,430
Kenneth Darby,80,429
Brad Johnson,88,428
Khreem Smith,85,427
Travis Jervey,84,427
Byron Hanspard,104,427
DJ Ware,78,425
Chris Chandler,71,421
Blake Bortles,49,420
Justin Griffith,85,420
Jonas Gray,78,418
Evan Royster,74,417
Peter Warrick,42,408
Dan Herron,71,407
Darick Holmes,82,406
Jacob Hester,94,402
Andre Hall,61,401
Chad Morton,67,400
Joe Montgomery,100,398
Hines Ward,41,397
Chad Henne,75,397
Tim Dwight,42,396
Marc Edwards,101,394
James Thrash,31,393
Deji Karim,82,383
Ray Lucas,56,383
Tavon Austin,40,382
Akili Smith,56,381
Rod Smith,32,378
Kurt Warner,65,375
Derek Loville,76,373
Adrian L. Peterson,36,365
Shaud Williams,69,365
Kyle Orton,64,364
Kenny Bynum,79,361
Lance Dunbar,64,361
Nick Foles,57,360
Shaun Hill,50,359
Darnell Autry,88,357
Mike James,69,356
Stepfan Taylor,82,349
Cedric Peerman,52,348
Anthony Johnson,69,348
Terry Jackson,57,347
DeShawn Wynn,51,347
Trent Edwards,59,346
Bruce Gradkowski,62,346
Noah Herron,71,344
Randall Cunningham,48,343
Santana Moss,35,343
Chris Chambers,30,340
Jerald Moore,71,338
Johnnie Morton,24,338
Doug Chapman,72,335
Jim Harbaugh,61,334
Seneca Wallace,39,333
Vinny Testaverde,48,329
Robert Chancey,71,329
June Henley,68,327
Michael Basnight,49,322
Wilmont Perry,60,320
Rashaan Shehee,70,316
Alvin Pearman,59,310
Quinton Ganther,64,308
Garrett Wolfe,57,306
Steve Beuerlein,66,306
Elvis Joseph,54,305
Lousaka Polite,91,304
De'Mond Parker,40,303
Montell Owens,48,302
Lorenzo Taliaferro,54,300
Sam Bradford,51,299
Antone Smith,23,295
Eddie Royal,30,294
Joe Webb,35,293
Kent Graham,48,292
Cordarrelle Patterson,18,290
Rocket Ismail,24,289
Mike Thomas,26,288
Mike Hart,57,287
Dante Hall,39,286
JaMarcus Russell,32,286
Juwan Thompson,46,281
Shaun Draughn,59,280
Chris Polk,46,279
Nate Burleson,33,279
Anthony Wright,46,278
Josh Johnson,38,277
Darius Walker,50,277
EJ Manuel,50,276
Derek Anderson,53,276
Raymont Harris,69,275
Stoney Case,34,275
Gus Frerotte,59,274
Sedrick Shaw,38,273
Tyson Thompson,59,273
DuJuan Harris,47,273
Terrell Owens,32,271
ReShard Lee,50,271
Christine Michael,41,270
Devonta Freeman,46,267
Kevin Kolb,36,266
Kellen Clemens,48,266
Eddie Kennison,27,263
Bernie Parmalee,43,263
Jamal Robertson,44,263
Brock Forsey,55,262
Kerwynn Williams,47,254
Glen Coffee,61,254
Drew Stanton,36,253
Randall Cobb,25,253
Lorenzo Booker,49,253
Donald Driver,23,252
Jonathan Grimes,55,248
Travis Taylor,25,248
Anquan Boldin,35,248
Fred McAfee,25,244
Fozzy Whittaker,50,243
Curtis Brinkley,60,242
Troy Smith,36,242
Sherman Williams,49,242
Tavian Banks,39,240
Chris Jennings,52,238
Laveranues Coles,27,236
Curtis Conway,18,234
Peerless Price,20,231
Ted Ginn Jr.,19,228
Aaron Craver,50,228
Autry Denson,46,228
William Powell,50,227
John Skelton,34,227
Frank Moreau,55,224
Cecil Sapp,43,224
Teddy Bridgewater,38,220
Charles Sims,43,217
Paul Smith,43,217
Az-Zahir Hakim,21,217
KaRon Coleman,44,216
Jerald Sowell,44,214
Charles Evans,57,213
Troy Brown,20,213
Mike Wallace,20,211
Amp Lee,37,211
Reno Mahe,37,210
Blaine Gabbert,49,208
Jacoby Ford,16,207
Rabih Abdullah,42,207
Ben Gay,30,207
Aaron Brown,36,206
Joe Burns,46,205
Ryan Williams,44,205
Elvis Grbac,38,203
LaMichael James,32,202
Tremayne Stephens,45,200
Troy Davis,53,199
De De Dorsey,23,198
Ciatrick Fason,36,197
Dennis Johnson,38,196
Sedrick Irvin,34,196
Billy Joe Tolliver,27,195
Jalen Parmele,35,195
Armando Allen,32,194
Terrelle Smith,49,194
Brady Quinn,33,193
Julian Edelman,20,193
Alfonso Smith,40,192
Tony Hollings,38,189
Rick Mirer,31,189
Luke McCown,21,188
William Floyd,62,186
Kyle Eckel,49,185
Kregg Lumpkin,28,181
Patrick Cobbs,31,181
Ashley Lelie,16,179
Dion Lewis,32,179
Alan Ricard,37,179
Terry Glenn,10,178
Edwin Baker,38,178
Darrel Young,40,178
Randy Moss,20,177
Ray Zellars,41,176
Charlie Whitehurst,29,176
Calvin Johnson,17,175
Wes Welker,17,175
Mike Sellers,44,174
Brooks Bollinger,35,173
Damien Anderson,37,173
Nick Luchey,40,171
LeShon Johnson,39,171
Chris Weinke,29,170
Danny Wuerffel,15,169
Lee Evans,8,169
Damon Huard,27,167
J.T. O'Sullivan,25,166
Chris Taylor,36,166
Phillip Tanner,42,166
Vincent Jackson,12,165
Lex Hilliard,43,165
Jerome Felton,40,164
Brandon Weeden,31,164
Devin Hester,20,163
James McKnight,13,163
Ka'Deem Carey,31,162
Jay Graham,40,161
Eric Parker,10,161
Leonard Henry,28,158
Jonathan Quinn,17,157
Ryan Leaf,28,157
T.J. Houshmandzadeh,17,157
George Jones,35,156
Brian Calhoun,16,155
Lawrence Phillips,20,155
Tyrod Taylor,17,155
Mark Clayton,16,155
Chad Simpson,24,154
William Henderson,39,154
Alshon Jeffery,14,153
Louis Murphy,13,153
Robert Thomas,35,153
Jeremi Johnson,42,152
Stefan Logan,20,152
Joey Galloway,21,152
Rex Grossman,35,151
Jim Kleinsasser,40,148
Doug Pederson,27,147
Kolby Smith,40,147
Dan Kreider,30,146
Glyn Milburn,15,144
Mike Green,29,144
Derrick Alexander,6,143
Robert Meachem,14,142
Ike Hilliard,12,140
Tyrell Sutton,23,139
Javon Walker,7,139
Damian Williams,27,138
Josh Morgan,13,137
Tommy Maddox,26,137
,0,137
Keith Toston,29,136
Bubby Brister,13,136
Antonio Brown,22,136
Chris Howard,31,135
Jeremy Stewart,27,135
Brandon Marshall,14,134
Lynell Hamilton,29,133
Bobby Wade,20,133
Eric Bieniemy,23,133
Mike Glennon,21,133
Isaac Bruce,15,132
Matt Moore,25,132
Tony Carter,35,132
Bethel Johnson,28,130
P.J. Pope,17,130
Leslie Shepherd,8,130
Sean Bennett,22,130
Chris J. Henry,24,130
Sage Rosenfels,22,129
Julio Jones,13,129
Devery Henderson,13,128
Alvis Whitted,11,128
Marcus Mason,25,127
Koren Robinson,17,127
Darrius Heyward-Bey,8,125
Basil Mitchell,28,125
Travis Benjamin,8,124
David Boston,12,123
Brandon LaFell,8,123
Curtis Painter,13,122
Steve Breaston,9,122
Donnie Avery,14,122
Donald Hollas,24,122
Quinn Gray,14,121
Javarris James,35,121
Taiwan Jones,24,121
Carey Davis,26,121
Case Keenum,19,120
Ovie Mughelli,38,120
Jarrett Payton,25,119
Matt Leinart,25,119
Shane Matthews,18,118
Roosevelt Potts,29,118
Miles Austin,7,118
Dantrell Savage,24,118
Troy Aikman,25,117
John Conner,26,117
Chuck Levy,20,117
Eben Britton,23,116
Cleo Lemon,29,116
Marvin Jones,8,116
B.J. Askew,27,116
John Elway,15,115
Rob Konrad,33,115
Kelly Campbell,11,115
Andre Johnson,20,115
Johnathan Franklin,15,114
Jermaine Lewis,21,114
Mike Karney,41,113
Brian Hoyer,21,113
Matt Flynn,22,112
Amani Toomer,10,112
Golden Tate,14,111
David Patten,10,111
Adimchinobe Echemandu,25,111
Kevin Turner,23,111
Eldra Buckley,29,111
Chase Daniel,12,111
Henry Burris,13,110
Reche Caldwell,14,108
Cecil Martin,20,108
Patrick Ramsey,20,108
Chad Ochocinco,14,108
Bernard Berrian,12,107
Donte Stallworth,11,107
Michael Clayton,14,107
Damien Nash,17,107
Derek Carr,18,106
Gary Russell,27,106
Chris Rainey,21,106
Da'Rel Scott,21,106
Arnaz Battle,13,104
Tim Rattay,17,103
Stephen McGee,15,103
Jason McKie,28,102
Cyrus Gray,21,102
Dimitri Nance,28,102
Daimon Shelton,27,101
Jeremy Kerley,14,100
Keyshawn Johnson,9,100
Andre Caldwell,9,100
Lawrence Vickers,28,100
Harry Douglas,11,100
Tim Carter,10,99
Ernie Conwell,15,99
Randy Fasani,14,99
Todd Bouman,15,99
Dwayne Wright,23,98
Caleb Hanie,13,98
Scott Mitchell,14,98
Danny Amendola,10,98
Chad Hutchinson,14,97
Damon Washington,22,97
Aaron Hernandez,9,97
De'Anthony Thomas,11,97
Santonio Holmes,11,96
Joel Makovicka,12,96
A.J. Green,10,96
Antonio Chatman,15,96
Bryan Gilmore,6,95
Curtis Keaton,21,95
Richard Murphy,22,95
Brandon Tate,8,94
Vonta Leach,32,94
Jerricho Cotchery,13,94
Storm Johnson,23,93
Steve Stenstrom,14,92
Germane Crowell,8,91
Chris Hetherington,27,91
Jamie Harper,23,90
Howard Griffith,19,90
Joe Banyard,18,90
Bobby Hoying,17,89
R.J. Bowers,15,89
Josh Scobey,22,89
Darrin Reaves,25,89
Josh Gordon,4,88
Kevin Walter,11,88
Jarius Wright,6,87
Mohamed Sanu,13,86
Jacoby Jones,13,86
Pat White,15,86
Michael Cox,21,86
Quinton Patton,4,86
Jeff George,12,86
Theo Riddick,22,85
Albert Young,22,85
Jeremiah Johnson,10,84
James Fenderson,15,84
Matt Turk,7,84
Beanie Wells,13,83
Pierre Garcon,8,83
Roscoe Parrish,8,83
